Iterations,Wide,Narrow
21900,0.00216736,0.00592575
22000,0.00202422,0.00586504
22100,0.000950865,0.00550547
22200,0.000350835,0.00556643
22300,0.00116697,0.00574554
22400,0.000373632,0.00604121
22500,0.00132761,0.0061578
22600,0.000629825,0.005922
22700,0.000756228,0.00580489
22800,0.000881522,0.00580489
22900,0.00235418,0.00563151
23000,0.00291897,0.00545964
23100,0.00258768,0.00546114
23200,0.00225925,0.00529149
23300,0.000608323,0.00518009
23400,0.0016108,0.0051262
23500,0.000414696,0.00473488
23600,0.00053719,0.0050198
23700,0.00196159,0.00519064
23800,0.00121158,0.00491519
23900,0.000467843,0.00497428
24000,0.00015919,0.00481231
24100,0.00228243,0.00476152
24200,0.00172648,0.00492989
24300,0.00117512,0.00471564
24400,0.000206417,0.00461163
24500,8.59E-05,0.00445445
24600,3.37E-05,0.00467513
24700,0.000985705,0.00489402
24800,0.00056023,0.00463088
24900,0.000853598,0.00474189
25000,0.00196808,0.00490495
25100,0.00184341,0.00506672
25200,0.0021282,0.00449196
25300,0.00119019,0.00449715
25400,0.000259564,0.00476282
25500,0.000143552,0.0048707
25600,2.84E-05,0.00502944
25700,0.00128731,0.00513545
25800,0.000199086,0.00518934
25900,8.59E-05,0.00534501
26000,0.000423119,0.00555038
26100,0.0013226,0.00544994
26200,0.0037867,0.00580489
26300,0.00349242,0.00590553
26400,0.00359027,0.00610566
26500,0.00329895,0.00630429
26600,0.00339679,0.0060039
26700,0.00233735,0.00590402
26800,0.00166989,0.00619994
26900,0.00253799,0.00590328
27000,0.000731036,0.00555981
27100,0.00121637,0.00565838
27200,0.000562846,0.0054643
27300,0.00104524,0.00541707
27400,0.0026511,0.00556338
27500,0.00237379,0.00508302
27600,0.00321732,0.00518153
27700,0.00516955,0.00523156
27800,0.0056267,0.00556686
27900,0.00497377,0.00542541
28000,0.00395788,0.00552129
28100,0.00331554,0.00566359
28200,0.00158272,0.00542945
28300,0.00168075,0.00543077
28400,0.00177808,0.00515249
28500,0.0022359,0.00506191
28600,0.0019707,0.00483314
28700,0.00314196,0.00492875
28800,0.00394767,0.00474798
28900,0.00154231,0.0050264
29000,0.00305786,0.00512035
29100,0.00420928,0.00494079
29200,0.00464779,0.00471714
29300,0.0043807,0.00499186
29400,0.00376532,0.00499462
29500,0.00454981,0.00490765
29600,0.00428576,0.00482126
29700,0.00506321,0.00469089
29800,0.00410838,0.00482786
29900,0.00247144,0.00496391
30000,0.00153162,0.00514317
30100,0.000598049,0.0048376
30200,0.00035233,0.00466551
30300,0.00112737,0.00475663
30400,0.000542929,0.00462947
30500,0.000299808,0.00472011
30600,0.00162362,0.0046804
30700,0.00118754,0.00494272
30800,0.00342785,0.00507442
30900,0.00265563,0.00516244
31000,0.00388063,0.00529259
31100,0.00542872,0.00499636
31200,0.00498743,0.00508379
31300,0.00454895,0.00500153
31400,0.00247422,0.00500409
31500,0.00106619,0.0049226
31600,0.00292444,0.00475787
31700,0.00282271,0.00484467
31800,0.00369268,0.00501416
31900,0.00197582,0.00476772
32000,0.00155635,0.0047296
32100,0.000498166,0.00465049
32200,0.000725218,0.00436638
32300,0.000632189,0.00420694
32400,0.000539733,0.00408933
32500,0.00108128,0.00417605
32600,0.000356524,0.00401866
32700,0.000678573,0.00410507
32800,0.00170736,0.00411025
32900,0.00210416,0.0039545
33000,0.00093898,0.00379969
33100,0.000402786,0.00364582
33200,0.000750252,0.00349287
33300,0.000885589,0.00349982
33400,0.00127891,0.00334822
33500,0.00228441,0.00343457
33600,0.00267123,0.0035204
33700,0.00305575,0.00340936
33800,0.0016108,0.00322068
33900,0.00169255,0.00315022
34000,0.000562846,0.00300233
34100,0.000647188,0.00316579
34200,0.000472851,0.00298003
34300,0.000686075,0.00294968
34400,0.0014965,0.00307339
34500,0.00140717,0.00319639
34600,0.00191334,0.00316568
34700,0.00271323,0.00313515
34800,0.00291695,0.00321888
34900,0.00370937,0.00315045
35000,0.00420318,0.00300678
35100,0.00616044,0.00297705
35200,0.00576722,0.00290989
35300,0.00450144,0.00336798
35400,0.00469666,0.00341225
35500,0.00605058,0.00341899
35600,0.00624035,0.00331417
35700,0.00671738,0.0035065
35800,0.00575415,0.00343898
35900,0.00737676,0.00340871
36000,0.00727481,0.00352565
36100,0.00831396,0.00360528
36200,0.00792564,0.00350168
36300,0.00725591,0.00354449
36400,0.00687263,0.00358705
36500,0.00649146,0.0037019
36600,0.00470619,0.00367149
36700,0.004333,0.00346094
36800,0.00508066,0.00371905
36900,0.00582427,0.00358124
37000,0.00572928,0.00369456
37100,0.0056348,0.0036289
37200,0.00637093,0.00345687
37300,0.0051714,0.00356961
37400,0.00315263,0.00357558
37500,0.00388948,0.00358153
37600,0.00544369,0.00337626
37700,0.00535147,0.0033827
37800,0.00471512,0.00338911
37900,0.00435372,0.00346532
38000,0.00399422,0.00336699
38100,0.00390677,0.00354707
38200,0.00381978,0.00362227
38300,0.004002,0.00352431
38400,0.00364716,0.00332346
38500,0.00463095,0.00336428
38600,0.00347633,0.00309632
38700,0.00365755,0.0033085
38800,0.00410313,0.00311028
38900,0.00348798,0.00332133
39000,0.00287599,0.00325983
39100,0.00358341,0.00313095
39200,0.00376204,0.00310401
39300,0.00341594,0.00311089
39400,0.00411659,0.00328567
39500,0.00351076,0.00322504
39600,0.00446757,0.00303103
39700,0.00334535,0.00323804
39800,0.00274602,0.00327774
39900,0.00266564,0.00318457
40000,0.00335766,0.00302569
40100,0.00199272,0.00299962
40200,0.00165877,0.00280907
40300,0.00260355,0.00271798
40400,0.00150539,0.00275838
40500,0.000412656,0.00250449
40600,0.00186058,0.00231703
40700,0.00203687,0.00245567
40800,0.00322143,0.0023017
40900,0.00339353,0.00211611
41000,0.00381584,0.00212511
41100,0.00273343,0.00229507
41200,0.00190612,0.00195024
41300,0.00207973,0.00189549
41400,0.00225251,0.00190493
41500,0.00242445,0.00194622
41600,0.00185327,0.00195549
41700,0.00227219,0.00183778
41800,0.0026891,0.00181561
41900,0.00163005,0.00173037
42000,0.00278173,0.00148799
42100,0.00221648,0.0013725
42200,0.00165392,0.00125756
42300,0.00158068,0.00114317
42400,0.00199333,0.0012478
42500,0.000708671,0.00141422
42600,0.000154923,0.00148666
42700,0.000568006,0.00168273
42800,0.00146015,0.00153776
42900,0.00114846,0.0017945
43000,0.00155635,0.00189616
43100,0.00100706,0.00193593
43200,0.000222041,0.00191425
43300,0.000629245,0.00189267
43400,0.00056023,0.0018407
43500,0.000728158,0.00163685
43600,0.000895316,0.00161606
43700,0.00271051,0.00156507
43800,0.00169735,0.00172583
43900,0.00092328,0.001916
44000,0.00108847,0.00192484
44100,0.00195314,0.00184361
44200,0.00234814,0.00200228
44300,0.00134723,0.00207061
44400,0.000350835,0.00184056
44500,0.000409774,0.00199817
44600,0.000243813,0.00200671
44700,0.000539142,0.00228167
44800,0.000143873,0.00217137
44900,0.00020886,0.00217946
45000,0.000641395,0.00189342
45100,0.000803185,0.00193144
45200,0.000736534,0.00196929
45300,1.15E-05,0.00203618
45400,0.000830835,0.00201534
45500,0.000538337,0.00211092
45600,0.000472851,0.00214805
45700,0.00108336,0.00215605
45800,0.000792222,0.00187506
45900,0.00117512,0.00194128
46000,0.00110882,0.00180583
46100,0.00126608,0.00181451
46200,0.00119987,0.00159398
46300,0.00113395,0.00160307
46400,0.000846471,0.00155509
46500,0.00100295,0.00147884
46600,0.00115876,0.00160173
46700,0.0013139,0.00146903
46800,0.00124843,0.00145002
46900,0.000524831,0.00148752
47000,0.000195691,0.00141223
47100,0.00113169,0.00139346
47200,0.00206373,0.00134673
47300,0.00146851,0.00132818
47400,0.00131012,0.00133762
47500,0.0013691,0.00145847
47600,0.000995335,0.00135639
47700,0.00105472,0.00139346
47800,0.000393515,0.00140269
47900,9.83E-05,0.00141188
48000,0.000373632,0.00153132
48100,0.00127815,0.00156772
48200,0.00142822,0.00160396
48300,0.0024301,0.00155786
48400,0.00172648,0.00153929
48500,0.00102577,0.00162995
48600,0.00159871,0.00158408
48700,0.000478413,0.00159274
48800,0.00210476,0.00165561
48900,0.00267198,0.00131227
49000,0.00155635,0.00145648
49100,0.00212237,0.00151924
49200,0.00164003,0.00128586
49300,0.00262117,0.00124134
49400,0.00359833,0.00114342
49500,0.0024921,0.00115284
49600,0.00180538,0.00108217
49700,0.00153564,0.000958531
49800,0.00188706,0.00110114
49900,0.00223706,0.00108404
50000,0.00135048,0.00119936
50100,0.00128926,0.0012878
50200,1.99E-06,0.00127043
50300,0.000469556,0.00138469
50400,0.00175219,0.00155101
50500,0.00139913,0.00150702
50600,0.000844049,0.00151552
50700,0.000900222,0.00162839
50800,0.00075355,0.00161056
50900,0.000201444,0.0015928
51000,0.000143552,0.00157511
51100,0.000115546,0.00158338
51200,0.000631566,0.00166917
51300,0.000372527,0.00165144
51400,8.58E-05,0.00160802
51500,5.73E-05,0.00159048
51600,3.95E-07,0.0014704
51700,0.000540962,0.00145319
51800,0.000880731,0.00128275
51900,0.00102086,0.00136796
52000,0.000764562,0.00130014
52100,0.00149708,0.00130879
52200,0.00183241,0.00129205
52300,0.00177284,0.00130068
52400,0.000927754,0.00133453
52500,0.00185044,0.00109096
52600,0.00159549,0.00120057
52700,0.00114618,0.00113396
52800,0.000308684,0.00114281
52900,0.000252669,0.00125169
53000,0.000585289,0.00121034
53100,0.000916656,0.00116915
53200,0.00124678,0.00117786
53300,0.000803185,0.00121138
53400,2.43E-05,0.00126954
53500,0.00104101,0.00140171
53600,0.00205396,0.00133585
53700,0.000954663,0.00122095
53800,0.00158137,0.00113107
53900,0.0012509,0.00101698
54000,0.000731036,0.00105035
54100,2.28E-05,0.00105914
54200,0.000456719,0.00104348
54300,0.000248369,0.0010035
54400,0.00075206,0.00123128
54500,4.90E-05,0.00121538
54600,0.000291155,0.00136922
54700,0.000908758,0.00137733
54800,0.000772777,0.00138541
54900,0.000824782,0.00146578
55000,0.000689448,0.00142554
55100,0.00130184,0.00136144
55200,0.00172555,0.00134551
55300,0.00196159,0.00132964
55400,0.00238258,0.00143327
55500,0.00280205,0.00129808
55600,0.00266462,0.00125858
55700,0.00345167,0.00133802
55800,0.00442037,0.00141718
55900,0.00520146,0.00151973
56000,0.00561215,0.00150375
56100,0.00620486,0.001535
56200,0.00606284,0.0014955
56300,0.0057385,0.00143264
56400,0.00559781,0.00127614
56500,0.00600417,0.00128415
56600,0.00513607,0.00126876
56700,0.00517873,0.00158019
56800,0.00558368,0.00142453
56900,0.0047209,0.00145548
57000,0.00494464,0.00155599
57100,0.0057084,0.00140119
57200,0.0068294,0.00143202
57300,0.00704829,0.00141656
57400,0.00654912,0.00123975
57500,0.00605169,0.00136277
57600,0.0060921,0.00130156
57700,0.00666753,0.00126349
57800,0.00652865,0.00136293
57900,0.00710134,0.0013706
58000,0.00660725,0.00124134
58100,0.00646918,0.00127198
58200,0.00650845,0.00134798
58300,0.00637103,0.00121942
58400,0.00552906,0.00120462
58500,0.00539378,0.00128035
58600,0.00473201,0.0011074
58700,0.00512461,0.00116049
58800,0.00604104,0.00128092
58900,0.00590581,0.00117626
59000,0.00542211,0.00116167
59100,0.00563672,0.00112474
59200,0.00689384,0.00117736
59300,0.00675808,0.00134139
59400,0.0064495,0.00139346
59500,0.00700693,0.00151209
59600,0.00652626,0.00147488
59700,0.00639203,0.00123828
59800,0.0066025,0.00117953
59900,0.00595307,0.00112097
60000,0.00547736,0.00126112
60100,0.00483196,0.00131272
60200,0.00487265,0.00154002
60300,0.0047425,0.00156904
60400,0.00478319,0.00157605
60500,0.00567443,0.00153929
60600,0.00537375,0.00152449
60700,0.0054132,0.00166236
60800,0.00579112,0.00171271
60900,0.00515369,0.00174116
61000,0.00519331,0.00168273
61100,0.00523281,0.00181944
61200,0.00459941,0.00180433
61300,0.00463974,0.00187562
61400,0.00384173,0.00170959
61500,0.00338106,0.00173777
61600,0.00325607,0.00180882
61700,0.00313149,0.0019011
61800,0.0026742,0.00195024
61900,0.00321612,0.00217027
62000,0.00359027,0.00224017
62100,0.00379746,0.00235247
62200,0.00367301,0.00248568
62300,0.0030533,0.00255473
62400,0.00260053,0.0024539
62500,0.00198452,0.00235339
62600,0.00169934,0.00240118
62700,0.00190756,0.00230107
62800,0.00178731,0.0024331
62900,0.00101287,0.00224909
63000,0.00154796,0.00206568
63100,0.00126573,0.00200868
63200,0.00131012,0.00190999
63300,0.000703935,0.00181161
63400,0.000424368,0.00188053
63500,0.000631976,0.00192839
63600,0.000677089,0.00187206
63700,0.00185318,0.00185746
63800,0.00189624,0.00186364
63900,0.00274458,0.00178697
64000,0.00342944,0.00185528
64100,0.00298809,0.00204726
64200,0.00270845,0.00192943
64300,0.00307,0.00203837
64400,0.00263127,0.00198256
64500,0.00251307,0.00198849
64600,0.00287325,0.00205586
64700,0.00291413,0.00191847
64800,0.00374911,0.00196531
64900,0.00362992,0.00182849
65000,0.00335273,0.00187532
65100,0.00449942,0.00182037
65200,0.00469537,0.00180619
65300,0.00473308,0.00193391
65400,0.00508546,0.00191959
65500,0.00575106,0.00192553
65600,0.00625772,0.00187092
65700,0.00582282,0.00179633
65800,0.00664069,0.0017622
65900,0.0069875,0.00178841
66000,0.00764518,0.00181455
66100,0.00721081,0.00182059
66200,0.00708872,0.00174664
66300,0.00758802,0.00181265
66400,0.00762075,0.00169907
66500,0.0074986,0.00174505
66600,0.00722226,0.00167166
66700,0.00663811,0.00175722
66800,0.00667207,0.0018029
66900,0.00655207,0.0019078
67000,0.00658606,0.00189386
67100,0.00646654,0.00191941
67200,0.00665373,0.00194489
67300,0.00592269,0.00202928
67400,0.00641556,0.00209379
67500,0.0064495,0.00219732
67600,0.00678787,0.00210477
67700,0.00727728,0.00201249
67800,0.00715798,0.00190097
67900,0.00734222,0.00202366
68000,0.00661769,0.00208761
68100,0.00680218,0.0019959
68200,0.00713706,0.00190446
68300,0.00762166,0.00194893
68400,0.00735241,0.0020513
68500,0.00753476,0.0019795
68600,0.00696633,0.00204296
68700,0.00624973,0.00197138
68800,0.00643288,0.00174612
68900,0.00676489,0.00179042
69000,0.00709593,0.0017387
